question;right;alt1;alt2;alt3;alt4;shuffle;round
Qual destas frases está correta gramaticalmente falando?;Sou cego, mas não sou surdo;Sou cego, mais não sou surdo;-;-;-;N;1
Qual gênero é mais propenso ao daltonismo?;Masculino;Feminino;-;-;-;N;1
A França faz fronteira com o Brasil. Verdadeiro ou Falso?;Verdadeiro;Falso;-;-;-;12;1
Qual facção da Revolução Francesa ultimamente deu origem ao termo direita no espectro político?;Girondinos;Jacobinos;-;-;-;N;1
O que é medido a partir do Meridiano de Greenwich?;Longitude;Latitude;-;-;-;N;1
A qual estado brasileiro pertence a ilha de Fernando de Noronha?;Pernambuco;Rio Grande do Norte;-;-;-;N;1
Qual unidade de comprimento é a mais larga?;Milha;Quilômetro;-;-;-;N;1
Qual local turístico é o mais visitado do mundo?;Torre Eiffel;Cataratas do Niágara;-;-;-;N;1
Qual caracterísica da atmosfera pode ser medida com um barômetro?;Pressão;Umidade;-;-;-;N;1
O lírio do mar é um animal ou uma planta?;Animal;Planta;-;-;-;12;1
"Qual é a conjugação do verbo ""intervir"" na 3ª pessoa do singular do pretérito perfeito?";Ele interveio;Ele interviu;-;-;-;N;1
Qual é o nome do dublador do Goku em Dragon Ball Z?;Wendell Bezerra;Alfredo Rollo;-;-;-;N;1
Em que país está o monumento mais alto do mundo?;Emirados Árabes Unidos;Arábia Saudita;-;-;-;N;1
"Qual destes personagens da Turma da Mônica fala ""errado""?";Mônica;Cebolinha;Humberto;-;-;N;2
"""The Skeld"" é o nome de um dos mapas de qual jogo de computador?";Among Us;Counter Strike;Portal;-;-;N;2
"Quem dirigiu o filme ""Cidade de Deus""?";Fernando Meirelles;Cacá Diegues;Hector Babenco;-;-;N;2
Qual ajuda do Show do Milhão nunca apareceu no americano Who Wants to be a Millionaire, mesmo que de forma similar?;Cartas;Pulo;Universitários;-;-;N;2
"Qual é a origem da palavra ""sutiã""?";Francesa;Americana;Italiana;-;-;N;2
Segundo o folclore, que objeto deve ser utilizado para se capturar um saci-pererê?;Peneira;Caixa;Espelho;-;-;N;2
De que cidade inglesa saiu o Titanic?;Southampton;Liverpool;Londres;-;-;N;2
Qual jogo é 100% atualizado, ruim de aturar, virou moda e todo mundo quer jogar?;Bomba Patch;Brazukas;Fifamania;-;-;N;2
Em que estado nordestino nasceram os cantores Zé e Elba Ramalho?;Paraíba;Pernambuco;Bahia;-;-;N;2
"O que significa ""inóxio""?";Inofensivo;Inocente;Indolor;-;-;N;2
Qual destas pessoas criou a empresa de automóveis Ford Motors?;Henry Ford;John Ford;Peter Ford;-;-;N;2
Qual país sediou a Eurovisão 2025?;Suíça;Itália;França;-;-;N;2
Qual cantora do grupo Blackpink cantou a música APT com Bruno Mars?;Rosé;Lisa;Jennie;Jisoo;-;N;3
Quantas pole positions Ayrton Senna conquistou na Fórmula 1?;65;49;54;74;-;N;3
Arnaldo Cezar Coelho apitou a final da Copa do Mundo de que ano?;1982;1978;1986;1990;-;N;3
Em que ano o aplicativo WhatsApp foi lançado?;2009;2013;2015;2018;-;N;3
"""Goofy"" é o nome original de que famoso cachorro dos desenhos animados?";Pateta;Coragem;Snoopy;Pluto;-;N;3
Alexey Pajitnov desenvolveu qual jogo popular?;Tetris;War;Batalha naval;Pitfall;-;N;3
Qual das seguintes palavras pode ser digitada em uma única linha num teclado QWERTY padrão?;Salada;Queijo;Porco;Tela;-;N;3
Em 1972, Bobby Fischer derrotou qual enxadrista soviético para se tornar campeão mundial de xadrez?;Boris Spassky;Anatoly Karpov;Tigran Petrosian;Mikhail Tal;-;N;3
Qual cidade é a capital da Dinamarca?;Copenhague;Aarhus;Aalborg;Odense;-;N;3
Freed from Desire, a música-tema do Mundial de Clubes 2025, foi lançada em que ano?;1997;2000;1993;2007;2002;N;4
Em que país nasceu o bilionário Elon Musk?;África do Sul;Estados Unidos;Reino Unido;Canadá;Austrália;N;4
Ernesto Che Guevara tinha um diploma em qual curso?;Medicina;Direito;Economia;Filosofia;Engenharia;N;4
Em que país Rubens Barrichello conquistou sua primeira vitória na Fórmula 1?;Alemanha;Itália;Espanha;Inglaterra;Hungria;N;4
Qual é a altura da cantora Ariana Grande?;1,57m;1,52m;1,85m;1,65m;1,72m;N;4
"Que caractere aparece imediatamente após a sigla ""http"" ou ""https"" nos sites?";Dois pontos;Espaço;Barra comum;Ponto;Ponto e vírgula;N;4
Como se chama quem nasce em Mônaco?;Monegasco;Monegasco;Monegasco;Monegasco;Monegasco;N;5
Em que cidade fica a ponte Golden Gate?;São Francisco;San Francisco;SF;Sanfrancisco;Sãofrancisco;N;5
"Qual presidente ficou conhecido como ""Caçador de Marajás""?";Fernando Collor de Melo;Collor;Fernando Collor;F. Collor;F Collor;N;5
Qual é a celebridade brasileira com mais seguidores no Instagram?;Neymar;Neymar Júnior;Neymar Junior;Neymar Jr.;Neymar Jr;N;5
Augusto Pinochet foi ditador de qual país sul-americano?;Chile;Chile;Chile;Chile;Chile;N;5
Qual é o estreito que separa a Europa da Ásia?;Estreito de Bósforo;Bosforo;Estreito de Bosforo;Estreito de Bósforo;Bósforo;N;5
Qual herói da ficção tem como nome verdadeiro Tony Stark?;Homem-de-Ferro;Homem de ferro;Iron Man;Milionário, playboy, filantropo;Homem de Ferro;N;5
Qual destas duplas de países referenciam um ao outro em seus respectivos hinos?;Polônia e Itália;Estônia e Finlândia;Espanha e Portugal;Bélgica e Luxemburgo;Israel e Palestina;N;4
